accession	description	tax_id	sub_species	base_count	first_public
AF006565	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	7234		3462	1997-09-11
KX384731	Drosophila takahashii strain IND_DT_U7 alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, partial cds.	29030		2658	2017-01-03
X13812	D.affinidisjuncta Adh gene for alcohol dehydrogenase	7262		3886	1992-04-21
X62223	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3477	1992-10-16
X62229	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3494	1992-10-16
AY331979	Drosophila lini alcohol dehydrogenase gene, partial cds.	74550		785	2003-07-26
X62210	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3454	1992-10-16
X62218	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3486	1992-10-16
X62235	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3479	1992-10-16
X62190	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3485	1992-10-16
X62217	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3468	1992-10-16
X62224	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3474	1992-10-16
X64487	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3474	1992-10-16
X62183	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3499	1992-10-16
X62196	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3479	1992-10-16
X62211	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3475	1992-10-16
X62221	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3483	1992-10-16
X62232	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3499	1992-10-16
X64468	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3476	1992-10-16
X64470	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3498	1992-10-16
X64476	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237		3457	1992-10-16
AB026535	Drosophila sturtevanti gene for alcohol dehydrogenase, partial cds.	30047		849	1999-10-29
AY006415	Drosophila heteroneura alcohol dehydrogenase (Adh) gene, partial cds.	32382		510	2001-09-04
AY750119	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966		911	2005-12-31
AY750145	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	311478		911	2005-12-31
DQ471631	Drosophila beppui alcohol dehydrogenase (Adh) gene, partial cds.	381453		711	2006-07-20
DQ471660	Drosophila hydei alcohol dehydrogenase (Adh) gene, partial cds.	7224		711	2006-07-20
AY750131	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.	311475		911	2005-12-31
HQ631475	Drosophila jambulina alcohol dehydrogenase (adh) gene, partial cds.	111875		290	2011-08-30
HQ631480	Drosophila ohnishii alcohol dehydrogenase (adh) gene, partial cds.	307242		290	2011-08-30
M36580	D.melanogaster alcohol dehydrogenase (Adh) gene, complete cds.	7227		2686	1990-08-30
U63563	Drosophila affinidisjuncta alcohol dehydrogenase (Adh) mRNA, complete cds.	7262		898	1996-09-13
X68164	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS309)	7237		3443	1992-10-08
AF059888	Drosophila funebris alcohol dehydrogenase (Adh) gene, partial cds.	7221		290	1998-04-28
AY750137	Drosophila pseudosordidula alcohol dehydrogenase (Adh) gene, partial cds.	311482		911	2005-12-31
HQ631478	Drosophila madikerii alcohol dehydrogenase (adh) gene, partial cds.	233251		290	2011-08-30
AF081357	Drosophila tolteca alcohol dehydrogenase (Adh) gene, partial cds.	7259		425	1999-01-18
AY006418	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.	46895		510	2001-09-04
AY750120	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966		911	2005-12-31
AY750126	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	30041		911	2005-12-31
