version	tax_id	scientific_name	last_updated	base_count	accession
1	6182	Schistosoma japonicum	2019-06-18	369900518	GCA_006368765
1	46835	Fasciola gigantica	2022-11-10	1127753889	GCA_006461475
1	27845	Fasciolopsis buskii	2024-12-13	748157630	GCA_008360955
1	34504	Paragonimus westermani	2022-11-10	922849782	GCA_008508345
1	82660	Gyrodactylus bullatarudis	2020-04-05	84346884	GCA_012064415
1	100268	Paragonimus heterotremus	2020-06-22	841211332	GCA_013368495
1	2682772	Atriophallophorus winterbourni	2020-07-12	601728533	GCA_013407085
1	100269	Paragonimus kellicotti	2020-08-16	696536264	GCA_014220965
1	59628	Paragonimus skrjabini miyazakii	2022-10-20	915809684	GCA_014338405
1	34504	Paragonimus westermani	2020-11-06	923276502	GCA_015252655
1	2730667	Benedenia humboldti	2023-01-30	2150072	GCA_016432935
1	66787	Dipylidium caninum	2021-03-22	109012297	GCA_017562135
1	70667	Schistocephalus solidus	2021-03-26	625207408	GCA_017591395
1	46835	Fasciola gigantica	2021-04-19	1347763624	GCA_018104335
1	28841	Moniezia expansa	2023-02-06	142225902	GCA_019097775
1	6182	Schistosoma japonicum	2022-01-13	408532700	GCA_021461655
1	6210	Echinococcus granulosus	2022-01-24	172983221	GCA_021556725
1	79327	Schmidtea mediterranea	2025-11-27	773974862	GCA_022537955
1	6207	Taenia crassiceps	2025-03-04	107053072	GCA_023375655
1	85432	Taenia pisiformis	2025-11-27	211455966	GCA_023968675
1	6182	Schistosoma japonicum	2025-11-28	406576294	GCA_025215515
1	335511	Cardicola forsteri	2022-10-27	216531548	GCA_025895645
1	66787	Dipylidium caninum	2023-02-03	82508805	GCA_028455885
1	66787	Dipylidium caninum	2023-02-03	86576386	GCA_028456195
1	3003519	Proteocephalus fallax	2023-02-17	131552618	GCA_028672205
1	116851	Eudiplozoon nipponicum	2023-06-28	939802929	GCA_029291075
1	46835	Fasciola gigantica	2023-11-07	621797505	GCA_030506585
1	2783799	Anomotaenia brevis	2023-08-10	144178552	GCA_030710315
1	2991682	Nematoplana nigrocapitula	2023-10-01	597704782	GCA_032274565
1	46835	Fasciola gigantica	2023-12-28	879139051	GCA_034768655
1	38744	Schistosoma mekongi	2023-12-29	404245338	GCA_034768735
1	2991685	Vannuccia rotundouncinata	2023-12-28	326665869	GCA_034780395
1	2991684	Coelogynopora nodosa	2023-12-28	580059439	GCA_034780555
1	2991686	Parotoplana pacifica	2023-12-28	525085514	GCA_034780595
1	2991687	Invenusta paracnida	2024-01-25	641572985	GCA_036023295
1	2991690	Americanaplana fernaldi	2024-01-25	686291627	GCA_036026455
2	85431	Taenia hydatigena	2024-02-07	308586157	GCA_036345935
1	85431	Taenia hydatigena	2024-02-02	308542463	GCA_036345935
1	94845	Ligula intestinalis	2024-02-05	775347920	GCA_036362985
1	2991683	Monocelis spectator	2024-02-22	271808040	GCA_036784945
1	2991688	Minona dolichovesicula	2024-02-26	582019207	GCA_036873645
1	2200948	Bipalium vagum	2024-03-29	440773300	GCA_037834085
1	79748	Platydemus manokwari	2024-04-02	911170071	GCA_037951405
1	57078	Dicrocoelium dendriticum	2024-04-02	2879933795	GCA_037952815
1	57078	Dicrocoelium dendriticum	2024-04-02	4843985084	GCA_037953325
1	163373	Schmidtea nova	2024-11-13	1251382582	GCA_044892505
1	2039861	Sluysia triapertura	2024-12-17	619237288	GCA_046118255
1	2676386	Hausera hauseri	2024-12-25	868631888	GCA_046269625
1	2614299	Macrostomum karlingi	2025-03-30	448560025	GCA_049176395
1	3031171	Spirometra sp. Aus1	2025-06-30	728638509	GCA_051168835
1	6182	Schistosoma japonicum	2022-12-01	402743189	GCA_000151775
1	79327	Schmidtea mediterranea	2019-08-26	865587040	GCA_000181075
1	79923	Clonorchis sinensis	2022-12-03	547288241	GCA_000236345
5	6183	Schistosoma mansoni	2023-05-02	391422238	GCA_000237925
4	6183	Schistosoma mansoni	2020-07-30	409579008	GCA_000237925
2	6183	Schistosoma mansoni	2013-03-15	364538298	GCA_000237925
1	6183	Schistosoma mansoni	2016-11-30	258717380	GCA_000237925
3	6211	Echinococcus multilocularis	2022-12-17	114963228	GCA_000469725
2	6211	Echinococcus multilocularis	2016-01-14	113768600	GCA_000469725
1	6211	Echinococcus multilocularis	2016-01-14	7371474	GCA_000469725
3	85433	Hymenolepis microstoma	2019-03-28	168943216	GCA_000469805
2	85433	Hymenolepis microstoma	2026-02-14	182136974	GCA_000469805
1	85433	Hymenolepis microstoma	2016-01-14	126773784	GCA_000469805
1	6210	Echinococcus granulosus	2024-10-28	110837706	GCA_000524195
1	79327	Schmidtea mediterranea	2022-12-09	779479550	GCA_000572305
1	79327	Schmidtea mediterranea	2022-12-10	700725851	GCA_000691995
3	6185	Schistosoma haematobium	2023-02-15	400271889	GCA_000699445
2	6185	Schistosoma haematobium	2020-02-06	371394055	GCA_000699445
1	6185	Schistosoma haematobium	2015-01-29	375894156	GCA_000699445
1	37629	Gyrodactylus salaris	2022-12-11	67380660	GCA_000715275
1	6198	Opisthorchis viverrini	2022-12-11	620452578	GCA_000715545
2	6192	Fasciola hepatica	2022-12-30	1269308948	GCA_000824725
1	6192	Fasciola hepatica	2015-01-20	1182399016	GCA_000824725
1	6192	Fasciola hepatica	2022-12-14	1275107963	GCA_000947175
1	57078	Dicrocoelium dendriticum	2015-03-11	547921014	GCA_000950715
1	99802	Spirometra erinaceieuropaei	2015-03-13	1258717181	GCA_000951995
1	282301	Macrostomum lignano	2019-08-26	1040124789	GCA_001188465
2	60517	Taenia asiatica	2016-09-06	168679183	GCA_001693035
1	60517	Taenia asiatica	2016-07-24	168104402	GCA_001693035
2	6206	Taenia saginata	2022-12-24	169104283	GCA_001693075
1	6206	Taenia saginata	2016-07-24	168928941	GCA_001693075
1	6204	Taenia solium	2025-04-09	129810970	GCA_001870725
3	94034	Taenia multiceps	2023-01-04	240610560	GCA_001923025
2	94034	Taenia multiceps	2018-07-16	301477105	GCA_001923025
1	94034	Taenia multiceps	2016-12-28	240089990	GCA_001923025
1	6162	Girardia tigrina	2022-11-07	1428149015	GCA_001938485
1	6161	Dugesia japonica	2022-11-07	854187087	GCA_001938525
1	6198	Opisthorchis viverrini	2017-02-27	472260596	GCA_001990785
1	6204	Taenia solium	2017-04-09	114435817	GCA_002082475
1	6204	Taenia solium	2017-07-18	116379726	GCA_002221735
1	282301	Macrostomum lignano	2017-08-23	764410778	GCA_002269645
1	79327	Schmidtea mediterranea	2022-12-28	942041730	GCA_002600895
2	6192	Fasciola hepatica	2019-04-17	1138329001	GCA_002763495
1	6192	Fasciola hepatica	2017-11-16	1138330036	GCA_002763495
3	46835	Fasciola gigantica	2022-09-28	1036293543	GCA_002867515
2	46835	Fasciola gigantica	2019-02-06	516094894	GCA_002867515
1	46835	Fasciola gigantica	2018-01-08	1273710336	GCA_002867515
2	79923	Clonorchis sinensis	2023-02-02	558124894	GCA_003604175
1	79923	Clonorchis sinensis	2018-09-30	562768885	GCA_003604175
1	6184	Schistosoma bovis	2023-01-10	373478075	GCA_003958945
1	147828	Opisthorchis felineus	2022-11-09	679245959	GCA_004794785
1	50054	Schmidtea polychroa	2024-11-13	781270316	GCA_044892525
1	163372	Schmidtea lugubris	2024-11-13	781270316	GCA_044892535
1	79327	Schmidtea mediterranea	2024-12-09	819865861	GCA_045838255
1	79327	Schmidtea mediterranea	2024-12-09	840173815	GCA_045838265
1	3418957	Metroliasthes lucida	2025-08-12	96861133	GCA_051988955
1	3452912	Mesocestoides sp. HWML-68667	2025-08-12	132111553	GCA_051989025
1	3418958	Atriotaenia procyonis	2025-08-12	797881092	GCA_051989045
1	3418955	Neoctenotaenia variabilis	2025-08-12	141942154	GCA_051989125
1	268231	Ctenotaenia marmotae	2025-08-12	165141009	GCA_051989135
1	3447920	Anoplocephala gigantea	2025-08-12	433510045	GCA_051989435
1	3336019	Neodermophthirius harkemai	2025-08-12	351533209	GCA_051989465
2	48269	Schistosoma margrebowiei	2023-02-09	394936775	GCA_944470205
